Scenario B (fixed): 400 rounds (max 150.0s), 25 buffers x 20 signals (expected monitored_count to stay at 0), 1.0s between rounds -> /home/vagrant/src/moellep/pyepics-testing/docs/camonitor-cliff/results_B.csv
[diagnostic] CAGET_TEST:SIG0:HST0: chid before disconnect() = c_long(784449264), chid after disconnect() = c_long(784449264) (non-None/non-zero here means the channel is still clearable via epics.ca.clear_channel())
[  124.2s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
[  125.3s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
-- round 48 done (buffer 23) --
[  126.3s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
-- round 49 done (buffer 24) --
[  127.3s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
[  128.3s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=27.73
-- round 50 done (buffer 0) --
[  129.6s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
-- round 51 done (buffer 1) --
[  130.6s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
[  131.6s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
-- round 52 done (buffer 2) --
[  132.6s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
[  133.6s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=28.89
-- round 53 done (buffer 3) --
[  134.9s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=
-- round 54 done (buffer 4) --
[  135.9s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=
[  136.9s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=
-- round 55 done (buffer 5) --
[  137.9s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=
-- round 56 done (buffer 6) --
[  138.9s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=27.53
[  140.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=
-- round 57 done (buffer 7) --
[  141.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=
-- round 58 done (buffer 8) --
[  142.2s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=
[  143.2s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=
-- round 59 done (buffer 9) --
[  144.2s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=28.34
-- round 60 done (buffer 10) --
[  145.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=
[  146.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=
-- round 61 done (buffer 11) --
[  147.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=
-- round 62 done (buffer 12) --
[  148.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=
[  149.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.17MB server_rss=114.01 latency_p50=27.19
-- round 63 done (buffer 13) --
-- max_seconds (150.0) reached, stopping early --
Finished. Expected monitored_count and implied_bytes_per_sec to have stayed at 0 throughout -- see /home/vagrant/src/moellep/pyepics-testing/docs/camonitor-cliff/results_B.csv.
[diagnostic] main-thread epics.ca._cache: 500 channel entries remain for 500 distinct PVs touched, despite calling pv.disconnect() after every read
[diagnostic] clearing one via epics.ca.clear_channel(): CAGET_TEST:SIG0:HST0, chid=c_long(784449264)
[diagnostic] after clear_channel(): 499 entries remain (was 500) -- confirms the channel was real and clearable
